text,sentiment
bad day got worse,negative
wish knew someone could hook us friend told got crappy seats show chi,negative
_eclectic leave,neutral
weather outside weather hahah made feel better,positive
im trying put pic wont work,neutral
working preschoolwaiting kiddies get heremaking dunkin donuts coffee,neutral
took hour nap work today wont able sleep night bummer,positive
nooooooooo goes weekend,neutral
already crying movie started like mins ago,negative
ok good know,positive
alright playing cards rain wasnt smartest idea might sick fun,negative
_nye quiet lately,negative
days till county raly tak took,neutral
_mejer couldnt remember different cords meant lost half leaving graduation anyway,negative
son back school today feeling much better wasnt sickhe didnt stop eating,positive
wanted buy amber bensons deaths daughter today,neutral
much love hopeful reckon chances minimal p im never gon na get cake stuff,positive
drunk hickups pretty laid back great night still cant help mad situation put,negative
really disappointed whole promiscuous girl thing congrats success think wasted talent,negative
feel like dream got crushed,negative
reupload thing,neutral
fudge bsd whole paper tired ugh hate school time sleep,negative
getting ready schoolhope today happy awesome day,positive
thats fox isnt never watched,neutral
want ice cream expensive,negative
argh interested time maybe cant go maybe,positive
lol dont ever forget,positive
ok peepsim crazyi twittering someone idea direct msg cell blonde moment,positive
good mood mamas away sis cant talk either boy cant see weekend planned,positive
ahh im getting really tired ej isnt yet im might go sleep without talking,negative
oh hi terri good good gossip,positive
im feeling sad likeing new haircut,negative
oh ok kool keep informed bout checked ur paged nice,positive
late today due construction tgif,negative
ya headin family vaca hope paparazzi leave alone,neutral
nowhere babe ice come jobs morning sigh,negative
google going means doubleclick goes means cant get work done,negative
roast yummy think mum impressed,positive
sorry posted vid wont load,negative
_educator thanks photos look great ill comment asap,positive
sucks woot misha,negative
sad roommate fry chicken every night finished tonights batch,negative
wants game tonight friends,negative
two months something kinf prom im really excited havent contact,positive
smores plus jacuzzi equals amazing,positive
taking break sewing dishes,neutral
puppy gizmo hs haha still growls always look back long pruple scar fingie,positive
see sucked right problem churchsunday race conflicts thats god gave us dvr _niffer,positive
hermits like stay,neutral
friday last much fun skint though,negative
two tickets amadou miriam tue june cant use anyone wants em thats face value good,positive
hmmm offer tesco well dont think wee one next stock,neutral
great sunbathing garden afternoon ill watching ado see win important match tv,positive
ur leaving week know dont see u everyday like fact ur city,negative
stable faster x working,neutral
ugh boom boom pow stuck head hate song,negative
played fontstruct httpisgdeje uploaded dafont k downloads top category httpisgdwyyp wtf moment,negative
missing hobotramp way life cooking mother saturday night mama luv u,negative
thank guys awesome things blog tonight grateful,positive
tweet us story x,neutral
bbc malaria parasites becoming resistant drugs httptruncityn really good malaria affects many people,positive
lol watching big bang theory latest episode,positive
yeah way home,neutral
uh mean,negative
one thing good enough friendship retained,positive
happy mothers day mommas mommas currently wonderful day,positive
hahaha tempting nvm la im quite klutz actually fare better hp cam lol,positive
gon na miss gurl shes honeymoon,neutral
going bed talk ya later goodnight birdies lol,positive
worried cousin son,neutral
desperate need tweets cheer,negative
miss,neutral
whew finally got rc,neutral
sorry hear terrible news thinking x,negative
stinks anyway,negative
congradts ur show even tho wasnt lol,positive
way kuya jordans house os sleepover,neutral
one day hugs come fingers still crossed,neutral
wow purple leopard skin fieeerrceee,positive
wish go roots pinic,neutral
two going visit someone,neutral
reads phone book hugh clancy hugh clamentsnope hugh clap poor holly though shell grab pity votes like shark,negative
merlin wasnt bad already watched bt course,negative
wan na go see cab really bad,negative
gor soo bored man dont think could get bored,negative
record john mayer freaking cool,positive
grreverytime gets new girlfriendim bottom totem pole,positive
got math test today,neutral
gahh weather sucksss,neutral
_kill_boy oh sorry getting replies nothing yes know nirvana,negative
sorry hear dude,negative
suck,neutral
ohh ic ic haha iyaa summer filled one course lasts whole summer,positive
found wont know uni results year th july earliest hate wait,negative
trying get work done happy work situation,positive
hey made us house sims oh like perfect balance im always lacking stuff like fun etc,positive
omg someone left voicemail work ffs let day,neutral
work day,neutral
dagnamit latest power twitter update pants clickable links,positive
coming end looooong day good new got everything done bad news got ta wake tomorrow work,negative
mine hon one rules break circumstances,negative
wifeyyyyyy likey u siky,neutral
keep tryingtaking texts week long,negative
sweat cute unfortunately havent figured work without sweating boo,negative
